customer_id,customer_country,customer_city,customer_segment,customer_state
1,puerto_rico,Caguas,corporate,PR
2,united_states,Antioch,corporate,MI
3,united_states,Brooklyn,home_office,NY
4,united_states,Escondido,home_office,DC
5,puerto_rico,Caguas,corporate,PR
6,puerto_rico,Caguas,consumer,PR
7,united_states,Lynwood,consumer,MD
8,puerto_rico,Caguas,consumer,PR
9,united_states,Saint Louis,consumer,GA
10,united_states,Greenville,consumer,OR
11,puerto_rico,Caguas,consumer,PR
12,puerto_rico,Caguas,consumer,PR
13,puerto_rico,Caguas,consumer,PR
14,united_states,Lancaster,consumer,MI
15,puerto_rico,Caguas,corporate,PR
16,united_states,Dearborn,consumer,NY
17,united_states,Honolulu,consumer,KY
18,puerto_rico,Caguas,consumer,PR
20,united_states,Hendersonville,consumer,TN
21,united_states,Massapequa,home_office,NY
22,united_states,Greensburg,corporate,OH
23,puerto_rico,Caguas,home_office,PR
24,united_states,Chicago,consumer,IL
26,united_states,Bronx,consumer,NY
28,united_states,West Orange,home_office,CA
31,puerto_rico,Caguas,corporate,PR
35,puerto_rico,Caguas,consumer,PR
36,puerto_rico,Caguas,corporate,PR
38,puerto_rico,Caguas,consumer,PR
39,puerto_rico,Caguas,corporate,PR
40,puerto_rico,Caguas,consumer,PR
41,puerto_rico,Caguas,home_office,PR
43,united_states,Citrus Heights,consumer,NY
44,united_states,Madison,corporate,OH
45,united_states,Freeport,home_office,TX
46,puerto_rico,Caguas,home_office,PR
49,puerto_rico,Caguas,corporate,PR
51,united_states,Rosemead,corporate,VA
52,puerto_rico,Caguas,home_office,PR
53,united_states,Piscataway,corporate,CA
56,united_states,New Orleans,home_office,CA
57,united_states,Dorchester Center,consumer,FL
58,puerto_rico,Caguas,corporate,PR
59,puerto_rico,Caguas,consumer,PR
60,united_states,Katy,consumer,FL
63,united_states,New Bedford,home_office,CA
64,united_states,Yauco,consumer,WA
67,puerto_rico,Caguas,corporate,PR
68,puerto_rico,Caguas,home_office,PR
69,united_states,San Marcos,consumer,NY
71,united_states,Mililani,home_office,IL
72,united_states,El Monte,consumer,CA
73,united_states,Joliet,home_office,CA
75,puerto_rico,Caguas,corporate,PR
76,united_states,Glendale,consumer,CA
78,puerto_rico,Caguas,corporate,PR
80,united_states,Parkville,corporate,OH
82,puerto_rico,Caguas,home_office,PR
84,puerto_rico,Caguas,consumer,PR
87,puerto_rico,Caguas,home_office,PR
88,puerto_rico,Caguas,corporate,PR
90,united_states,Ewa Beach,corporate,CA
93,puerto_rico,Caguas,consumer,PR
94,puerto_rico,Caguas,corporate,PR
97,puerto_rico,Caguas,consumer,PR
98,united_states,San Bernardino,corporate,NY
101,united_states,Huntington Park,consumer,CA
107,puerto_rico,Caguas,consumer,PR
109,united_states,Marietta,corporate,MN
115,united_states,Chicago,consumer,IL
116,united_states,Newark,consumer,CA
121,puerto_rico,Caguas,consumer,PR
122,puerto_rico,Caguas,consumer,PR
124,puerto_rico,Caguas,corporate,PR
125,united_states,Bakersfield,consumer,CA
126,puerto_rico,Caguas,home_office,PR
127,united_states,South Richmond Hill,corporate,TN
129,puerto_rico,Caguas,home_office,PR
130,puerto_rico,Caguas,corporate,PR
131,puerto_rico,Caguas,consumer,PR
132,puerto_rico,Caguas,consumer,PR
133,united_states,Highland Park,home_office,NJ
135,united_states,Jacksonville,consumer,NJ
136,united_states,Los Angeles,corporate,CA
137,puerto_rico,Caguas,home_office,PR
139,puerto_rico,Caguas,corporate,PR
140,united_states,Escondido,consumer,RI
144,puerto_rico,Caguas,consumer,PR
147,puerto_rico,Caguas,consumer,PR
149,puerto_rico,Caguas,home_office,PR
151,united_states,South Richmond Hill,corporate,GA
153,puerto_rico,Caguas,corporate,PR
158,united_states,Hawthorne,corporate,NY
160,puerto_rico,Caguas,corporate,PR
162,puerto_rico,Caguas,consumer,PR
165,united_states,Fargo,corporate,MD
167,puerto_rico,Caguas,consumer,PR
170,united_states,Gilroy,home_office,TX
172,united_states,Flushing,consumer,MD
173,united_states,Huntington Station,consumer,NY
174,united_states,Martinsburg,home_office,NV
176,puerto_rico,Caguas,consumer,PR
177,puerto_rico,Caguas,consumer,PR
179,united_states,South El Monte,consumer,NY
180,united_states,Toms River,consumer,CA
181,united_states,Brooklyn,corporate,NY
182,united_states,Cumberland,consumer,NY
184,puerto_rico,Caguas,consumer,PR
185,puerto_rico,Caguas,consumer,PR
186,united_states,Blacksburg,corporate,OH
187,united_states,Guaynabo,consumer,CA
190,puerto_rico,Caguas,home_office,PR
191,united_states,Lancaster,consumer,NV
194,puerto_rico,Caguas,consumer,PR
196,united_states,West Chester,corporate,TX
197,puerto_rico,Caguas,consumer,PR
198,puerto_rico,Caguas,consumer,PR
199,united_states,Cumberland,corporate,CA
200,puerto_rico,Caguas,consumer,PR
201,united_states,Denver,corporate,CA
202,united_states,Denton,consumer,NV
203,puerto_rico,Caguas,consumer,PR
204,united_states,Bend,corporate,OH
206,puerto_rico,Caguas,corporate,PR
207,united_states,Phoenix,consumer,GA
212,puerto_rico,Caguas,corporate,PR
214,puerto_rico,Caguas,consumer,PR
215,united_states,Union City,home_office,NY
216,puerto_rico,Caguas,consumer,PR
217,puerto_rico,Caguas,corporate,PR
218,puerto_rico,Caguas,consumer,PR
